lng,lat,url,title,pic,sentiment
-95.9394313,36.1182276,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.5789664,37.0422161,https://www.cnn.com/videos/cnnmoney/2018/09/22/jane-fonda-hbo-documentary-wxp-vpx.hln,"Jane Fonda opens up in new documentary",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-71.1790299,46.75604999999999,https://www.cnn.com/videos/world/2018/09/22/first-woman-tv-anchor-saudi-arabia-wxp.hln,"See how this Saudi woman just made history",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-73.044431,40.749294,https://www.cnn.com/2018/09/23/politics/kavanaugh-allegation-second-woman/index.html,"White House and Kavanaugh deny allegation made by second woman",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-77.06735189999999,38.9144733,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.712891,37.09024,https://www.cnn.com/2018/09/23/politics/nikki-haley-brett-kavanaugh-christine-blasey-ford-cnntv/index.html,"Nikki Haley says sexual harassment accusers shouldn't be second-guessed",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.61810969999999,37.035216,https://www.cnn.com/videos/cnnmoney/2018/09/22/jane-fonda-hbo-documentary-wxp-vpx.hln,"Jane Fonda opens up in new documentary",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.8143441,36.0572006,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-92.2216531,34.7307049,https://www.cnn.com/videos/cnnmoney/2018/09/22/jane-fonda-hbo-documentary-wxp-vpx.hln,"Jane Fonda opens up in new documentary",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.845107,36.1774518,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-96.8265246,32.9547604,https://www.cnn.com/2018/09/23/politics/nikki-haley-brett-kavanaugh-christine-blasey-ford-cnntv/index.html,"Nikki Haley says sexual harassment accusers shouldn't be second-guessed",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.93558399999999,36.7105532,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-79.154021,40.622775,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-80.1964514,25.927679,https://edition.cnn.com/2018/09/22/europe/portugal-shipwreck-discovered/index.html,"Centuries-old shipwreck found off Portugal",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-9.1393366,38.7222524,https://edition.cnn.com/2018/09/22/europe/portugal-shipwreck-discovered/index.html,"Centuries-old shipwreck found off Portugal",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.9926189,36.1515074,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-97.33248200000001,32.754119,https://www.cnn.com/2018/09/22/opinions/anthony-bourdain-parts-unknown-censor-spicer-joslyn/index.html,"I was Anthony Bourdain's 'censor' at CNN",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.712891,37.09024,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
